,Period,Short Description,Temp,Description
0,Today,Sunny,High: 52 °F,"Today: Sunny, with a high near 52. Calm wind becoming northeast 5 to 8 mph in the afternoon. "
1,Tonight,Mostly Clear,Low: 30 °F,"Tonight: Mostly clear, with a low around 30. North wind around 5 mph becoming calm. "
2,Friday,Sunny,High: 59 °F,"Friday: Sunny, with a high near 59. West southwest wind 3 to 8 mph. "
3,Friday Night,ChanceRain/Snow,Low: 31 °F,"Friday Night: A chance of rain before 11pm, then a chance of rain and snow.  Mostly cloudy, with a low around 31. West southwest wind 6 to 8 mph.  Chance of precipitation is 50%. Little or no snow accumulation expected. "
4,Saturday,Slight ChanceSnow thenMostly Sunny,High: 47 °F,"Saturday: A 20 percent chance of snow before 11am.  Mostly sunny, with a high near 47. West northwest wind 3 to 8 mph. Winds could gust as high as 20 mph. "
5,Saturday Night,Chance Snow,Low: 18 °F,"Saturday Night: A 30 percent chance of snow after 11pm.  Mostly cloudy, with a low around 18."
6,Sunday,Slight ChanceSnow,High: 38 °F,"Sunday: A 20 percent chance of snow.  Mostly sunny, with a high near 38."
7,Sunday Night,Partly Cloudy,Low: 16 °F,"Sunday Night: Partly cloudy, with a low around 16."
8,Monday,Slight ChanceSnow,High: 36 °F,"Monday: A slight chance of snow.  Mostly sunny, with a high near 36."
